-No-  Hi  Lo  Artist's Name
   1   2   0  10,000 Maniacs
   2   2   1  10cc
   3   1   0  12 Stones
   4   0   1  2 Chainz
   5   0   4  2Pac
   6   3   0  3 doors down
   7   1   3  311
   8   1   0  4 Non Blondes
   9   0   1  50-Cent
  10   1   0  A Flock of Sea Gulls
  11   0   1  A Paul Ortega
  12   4   0  A Perfect Circle
  13   0   1  A Taste Of Honey
  14   2   0  A Tribe Called Quest
  15   1   0  Aaliyah
  16   5   0  ABBA
  17   0   1  Above The Law
  18   8   0  AC-DC
  19   0   1  Ace of Base
  20   0   1  Adam F
  21   4   0  Adams, Bryan
  22   1   0  Adderley, Cannonball
  23   1   0  Addition, James
  24   9   0  Aerosmith
  25   0   1  African Vibrations
  26   2   0  Aguilera, Christina
  27   1   0  Aiken, Clay
  28   2   0  Air
  29   2   0  Air supply
  30   1   0  Alabama
  31   3   1  Alice Cooper
  32   9   0  Alice in Chains
  33   1   1  Alien Ant Farm
  34   1   0  All American Rejects, the
  35   5   1  Allman Brothers Band
  36   1   0  Alpert, Herb
  37   2   0  America
  38   2   0  Amos, Tori
  39   2   0  Animals, the
  40   3   0  Anthrax
  41   0   1  Apache Indian
  42   1   0  April Wine
  43   1   1  Archies
  44   0   1  Arci, Bob
  45   4   0  Armstrong, Louis
  46   0   1  Arrested Development
  47   1   2  Asia
  48   0   1  AT&T
  49   1   0  Atkins, Chet
  50   1   0  Atlanta Rhythm Section
  51   2   1  Audio Books
  52   2   0  Audioslave
  53   0   1  Avant
  54   1   0  B.o.B
  55   1   0  Babble
  56   2   5  Babyface
  57   3   0  Bachman-Turner Overdrive
  58   1   0  Backstreet Boys
  59   1   3  Bad Company
  60   4   0  Baez, Joan
  61   1   0  Bananarama
  62   1   0  Band Perry, the
  63   1   0  Band, the
  64   0   4  Bare Naked Ladies
  65   1   0  Barnet, Charlie
  66   1   0  Basie, Count
  67   1   0  Bauhaus
  68   1   0  Bay, James
  69   3   0  Be Bop A Lula
  70   8   1  Beach Boys
  71   5   2  Beastie Boys
  72  23  14  Beatles, the
  73   6   6  Beck
  74   1   0  Beck, Jeff
  75   1   0  Bedovin Soundclash
  76   4   0  Bee Gees
  77   1   0  Bega, Lou
  78   2  12  Ben Folds Five
  79   1   0  Bennett, Tony
  80   0   1  Berlin
  81   3   0  Berry, Chuck
  82   1   0  Better Than Ezra
  83   0   1  Big Bopper, The
  84   0   1  Big Head Todd and the Monsters
  85   3   1  Bjork
  86   5   0  Black Crowes, The
  87   2   1  Black Eyed Peas
  88   1   0  Black Flag
  89   8   4  Black Sabbath
  90   1   0  Black Stone Cherry
  91   1   0  Blakey, Art
  92   0   2  Blige, Mary J
  93   1   0  Blind Faith
  94   1   3  Blind Melon
  95   3   1  Blink 182
  96   1   0  Block, Rory
  97   3   0  Blondie
  98   6   0  Blood, Sweat & Tears
  99   1   0  Blue Oyster Cult
 100   2   0  Blues Brother, The
 101   6   1  Blues Traveler
 102   0   3  Bobby V
 103   0   2  BoDeans
 104   0   3  Body + Soul
 105   1   0  Bolton, Michael
 106   1   0  Bon Iver
 107   4   2  Bon Jovi
 108   0   1  Books, The
 109   2   2  Boston
 110   3   2  Bowie, David
 111   4   3  Braxton, Toni
 112   2   1  Breaking Benjamin
 113   1   0  Breeders, the
 114   4   0  Brill Building
 115   0   1  Brooks, Garth
 116   0   1  Brooks, Ronnie Baker
 117   1   1  Brown, James
 118   2   0  Browne, Jackson
 119   1   0  Bruce, Jack
 120   2   0  Buckcherry
 121   1   0  Buckley, Jeff
 122   1   0  Buckley, Tim
 123   0   1  BuckShot LeFunque
 124   0   1  Buena Vista Social Club
 125   0   1  Buffalo, Tom
 126   0   1  Buffett, Jimmy
 127   2   0  Burke, Solomon
 128   1   2  Bush
 129   4   0  Byrds, The
 130   1   0  C + C Music Factory
 131   1   1  Cake
 132   1   0  Calexico
 133   0   1  Candlebox
 134   1   1  Captain & Tennille, The
 135   2   0  Captain Beefheart
 136   2   0  Carey, Mariah
 137   1   0  Carlile, Brandi
 138   2   0  Carpenter, Mary Chapin
 139   4   0  Carpenters, The
 140   4   0  Cars, the
 141   4   2  Cash, Johnny
 142   3   0  Cave, Nick & the Bad Seeds
 143   0   1  Chamillionaire
 144   1   1  Chapman, Tracy
 145  10   0  Charles, Ray
 146   1   0  Charlie Daniels Band, The
 147   0   1  Charlie Johnson Quartet
 148   2   1  Cheap Trick
 149   2   1  Cher
 150   5   1  Chicago
 151   1   0  Chromeo
 152   1   0  Church, Charlotte
 153   2   0  Church, Eric
 154   9   2  Clapton, Eric
 155   1   0  Clark, Terri
 156   2   0  Clarkson, Kelly
 157   4   0  Clash, the
 158   1   0  Clegg, Johnny
 159   2   1  Cliff, Jimmy
 160   4   0  Cline, Patsy
 161   1   0  Club Nouveau
 162   1   0  Coasters, the
 163   1   0  Cocker, Joe
 164   1   0  Cohen, Leonard
 165   3   2  Coldplay
 166   4   0  Collective Soul
 167   6  11  Collins, Phil
 168   2   0  Colltrane, John
 169   0   1  Como, Perry
 170   0   1  Concrete  Blonde
 171   0   1  Connick, Harry Jr
 172   1   0  Cooke, Sam
 173   0   1  Cooper, Alice
 174   1   0  Corboz, Michel
 175   1   1  Corrs, the
 176   1   0  Cosmic Messenger
 177   2   2  Costello, Elvis
 178   3   3  Counting Crows
 179   0   1  Cracker
 180   1   0  Cramer, Floyd
 181   3   2  Cranberries, the
 182   1   0  Crawford, Randy
 183   4   0  Cream
 184   3   0  Creed
 185   6   6  Creedence Clearwater Revival
 186   2   0  Croce, Jim
 187   7   3  Crosby, Stills & Nash
 188   3   0  Crow, Sheryl
 189   0   1  Crow, The
 190   1   0  Cruz, Taio
 191   0   1  Crystal Method, the
 192   0   1  Culture Club
 193   4   0  Cure, The
 194   1   0  Curren$y
 195   0   1  Cypress Hill
 196   0   7  Cyrus, Miley
 197   1   0  Amsterdam Guitar Trio
 198  15   1  Beethoven
 199   1   0  Handel, Georg Feiedich
 200   2   0  Holst
 201   5   0  Kempff, Wilhelm
 202   1   0  Lanz, David
 203   2   1  Mozart
 204   3   0  Pachelbel
 205   4   0  Segovia, Andres
 206   2   0  Tchaikovsky
 207   2   3  Lewis Black
 208   0   1  D.O.C, The
 209   0   1  D12
 210   0  15  Dag Nasty
 211   1   0  Dale, Dick & the Del-Tones
 212   0   1  Damageplan
 213   0   1  Damn Yankees
 214   2   0  Damned, the
 215   0   1  Danzig
 216   0   1  Darin, Bobby
 217   1   0  Daughtry
 218   4   5  Dave Matthews Band
 219   8   0  Davis, Miles
 220   0   1  Day the
 221   1   0  Days Of The New
 222   1   0  De La Soul
 223   3   1  Dead Can Dance
 224   1   0  Dead Weather, The
 225   1   0  Death Cab For Cutie
 226   1   0  Death From Above
 227   4   0  Decemberists, The
 228   4   0  Deep Purple
 229   3   0  Deerhunter
 230   3   1  Def Leppard
 231   1   0  Deftones
 232   0   1  Del Amitri
 233   1   0  Dennen, Brett
 234   7   0  Depeche Mode
 235   1   0  Derek and the Dominoes
 236   4   0  Destiny's Child
 237   0   2  Deuter
 238   3   0  Diamond, Neil
 239   2   0  Diddley, Bo
 240   1   1  DIDO
 241   2   0  Dion, Celine
 242   4   1  Dire Straits
 243   0   1  Disney
 244   1   0  Disturbed
 245   1   0  Division, Joy
 246   2   0  Dixon, Willie
 247   0   1  DMX
 248   3   0  Domino, Fats
 249   1   0  Donnas, The
 250   1   0  Donovan
 251   2   1  Doobie Brothers, The
 252  17   1  Doors, the
 253   0   1  Dr Dre
 254   0   1  Drake
 255   3   0  Dream Theater
 256   2   0  Drifters, The
 257   1   0  Duffy
 258   4  10  Duran Duran
 259  29   2  Dylan, Bob
 260   4   5  Eagles
 261   1   0  Earle, Steve
 262   3   0  Earth, Wind and Fire
 263   1   0  Eazy-E
 264   4   6  Electric Light Orchestra
 265   2   0  Emerson, Lake & Palmer
 266   1   0  Emery
 267   2   3  Eminem
 268   0   1  Encore
 269   3   4  Enigma
 270   2   0  Eno, Brian
 271   1   2  Enya
 272   0   1  Erasure
 273   0   1  Etheridge, Melissa
 274   2   0  Eurythmics
 275   0   6  Evanescence
 276   0   2  Everclear
 277   0   2  Everlast
 278   1   0  Fagen, Donald
 279   0   1  Fall, the
 280   0   3  Fastball
 281   1   0  Ferdinand, Franz
 282   0   1  Fergie
 283   1   0  Ferguson, Rebecca
 284   1   0  Fiasco, Lupe
 285   1   0  Filter
 286   1   0  Fine Young Cannibals
 287   1   1  Fiona Apple
 288   0   2  Five for Fighting
 289   1   0  Fixx, the
 290   1   0  FKA Twigs
 291   0   1  Flaming Lips, the
 292   3   0  Fleck, Bela
 293   7   2  Fleetwood Mac
 294   1   0  Flobots
 295   2   0  Florence + the Machine
 296   1   0  Foals
 297   1   0  Foghat
 298   0   3  Foo Fighters
 299   0   6  Ford, Colt
 300   1   0  Ford, Tennessee Ernie
 301   4   2  Foreigner
 302   0   1  Fountains of Wayne
 303   0   2  FourPlay
 304   2   0  Frampton, Peter
 305   5   0  Franklin, Aretha
 306   0   1  Franz Ferdinand
 307   0   1  Fray, the
 308   0   1  Frey, Glenn
 309   0   1  Fugazi
 310   1   0  Fury, Billy
 311   0   1  Future
 312   0   1  G-Unit
 313   0   1  G3
 314   0   1  Gabbards, The
 315   3   7  Gabriel, Peter
 316   1   0  Garcia, Jerry & David Grisman
 317   1   1  Gaye, Marvin
 318   1   0  Gaynor, Gloria
 319   5  20  Genesis
 320   1   0  Gentry, Bobbie
 321   1   0  Gesaffelstein
 322   0   1  Gillespie, Dizzy
 323   2   0  Gilmour, David
 324   0   7  Ginuwine
 325   1   0  Glass, Philip
 326   1   0  Gnarls Barkley
 327   1   1  Godsmack
 328   0   1  Golden Earring
 329   0   1  Gomez
 330   1   4  Goo goo dolls
 331   1   0  Grand Funk Railroad
 332   8   7  Grateful Dead
 333   0   2  Gray, David
 334   1   0  Great White
 335   2   0  Greek Music
 336   0   6  Green Day
 337   2   0  Guess Who, the
 338   0   1  Guetta, David
 339   3   0  Guns N' Roses
 340   0   2  Guru
 341   1   0  Guthrie, Arlo
 342   3   0  Guy, Buddy
 343   0   3  Gyptian
 344   0   1  Haley, Bill & the Comets
 345   1   0  Hall & Oates
 346   1   5  Hamilton, Anthony
 347   0   1  Hancock, Herbie
 348   0   4  Harper, Ben
 349   1   0  Harrison, George
 350   2   0  Hawkwind
 351   0   1  Headley, Heather
 352   1   0  Heap, Imogen
 353   0   2  Heart
 354   1   0  Helmet
 355  18   2  Hendrix, Jimi
 356   0   1  Hiatt, John
 357   0   1  Highway Band, the
 358   1   0  Hole
 359   2   1  Holiday, Billie
 360   2   0  Hollies, the
 361   4   0  Holly, Buddy
 362   0   2  Holy Ghost
 363   0   1  Homunculus
 364   0   1  Hooker, John Lee
 365   0   1  Hootie & The Blowfish
 366   0   2  Hornsby, Bruce & The Range
 367   1   0  Hospitality
 368   0   2  Hothouse Flowers
 369   1   0  Howlin' Wolf
 370   0   1  Humble Pie
 371   1   1  Ice-T
 372   0   2  Idol, Billy
 373   0   1  Iglesias, Enrique
 374   0   1  Imbruglia, Natalie
 375   1   0  Impressions, the
 376   0   1  Indigo Girls
 377   0   1  Insane Clown Posse
 378   1   1  INXS
 379   0   1  IQ Dark Matter
 380   1   0  Iron Butterfly
 381   1   1  Iron Maiden
 382   0   1  Isaacs, Gregory
 383   1   0  Isbell, Jason
 384  18   2  Jackson, Michael
 385   0   5  Jaheim
 386   2   0  James, Etta
 387   0   6  Jamiroquai
 388   0   3  Jane's Addiction
 389   0   1  Jason Bonham Band
 390   0   5  Jay-Z
 391   7   0  Jefferson Airplane
 392   1   0  Jefferson Starship
 393   0   1  Jennings, Lyfe
 394   2   0  Jennings, Walon
 395   1   0  Jepsen, Carly Rae
 396   1   0  Jesus and Mary Chain, The
 397   1   0  Jets, The
 398   0   1  Jewel
 399   0   6  Joe
 400   5   2  Joel, Billy
 401   1   0  John, Dr
 402   1   2  John, Elton
 403   2   0  Johnson, Blind Willie
 404   0   1  Johnson, Eric
 405   0   3  Johnson, John
 406   2   0  Johnson, Robert
 407   0   4  Jon B
 408   0   1  Jon Spencer Blues Explosion
 409   0   1  Jones, Jesus
 410   0   2  Jones, Norah
 411   0   3  Jones, Quincy
 412   7   0  Joplin, Janis
 413   1   6  Journey
 414   2   0  Judas Priest
 415   1   0  Judd, Wynonna
 416   0   1  Julianna Hatfield 3
 417   1   0  Kansas
 418   1   0  Kasabian
