Total Number  albums: 4054
Number Hi-Res albums: 3144
Number Lo-Res albums:  910

-No-  Hi  Lo  Artist's Name
1051 141  55  Various Artists
 985  10  28  Soundtracks Various Artists
 403   5  20  Genesis
 597   1  17  LeVert, Gerald
 861  31  16  Rolling Stones
 268   0  15  Dag Nasty
1104  33  13  Xmas Various artists
1087  17  13  Who, the
 992   7  12  Taylor, James
 988   3  10  Talking Heads
 820  28  10  Queen
 324   4  10  Duran Duran
 209   7  10  Collins, Phil
 793   3   9  Phish
 728   0   9  NeverShoutNever!
 643   6   9  Marley, Bob
  98  12   9  Ben Folds Five
 693   1   8  Mint Condition
  92  25   8  Beatles, the
 971   2   7  Sublime
 817   2   7  Public Enemy
 725   0   7  Nelly
 412   0   7  Ginuwine
 397   5   7  Gabriel, Peter
 244   0   7  Cyrus, Miley
1099   8   6  Wonder, Stevie
1039  20   6  U2
 868  10   6  Rush
 625   0   6  Ludacris
 522   0   6  Joe
 344   0   6  Evanescence
 802   0   5  Poi Dog Pondering
 754   0   5  Offspring
 708   9   5  Morrison, Van
 449   1   5  Hamilton, Anthony
 430   2   5  Green Day
 375   1   5  Ford, Colt
 326   5   5  Eagles
 230  10   5  Creedence Clearwater Revival
  93   9   5  Beck
  70   3   5  Babyface
1052   4   4  Vaughan, Stevie Ray & Double Trouble
1049   9   4  Van Halen
1038   0   4  Tyrese
1014   5   4  Tomita, Isao
1000   0   4  They Might Be Giants
 942   9   4  Springsteen, Bruce
 823  18   4  R.E.M.
 801   0   4  Pogues, the
 741  10   4  Nine Inch Nails
 654   0   4  Maxwell
 644   1   4  Marley, Ziggy
 540   7   4  Journey
 530   0   4  Jon B
 509   1   4  Jay-Z
 506   2   4  Jamiroquai
 503   1   4  Jaheim
 426  19   4  Grateful Dead
   5   2   4  2Pac
1101   0   3  Wu-Tang Clan
1021   0   3  Tragically Hip
 984   2   3  System of a down
 969   5   3  Styx
 965   1   3  Stone Temple Pilots
 926   6   3  Smashing pumpkins
 906   0   3  Sick Puppies
 880  14   3  Satriani, Joe
 742   4   3  Nirvana
 721   2   3  Nakai, R Carlos
 710   0   3  Motley Crue
 703   9   3  Moody Blues
 680   8   3  Metallica
 632   2   3  Madonna
 602   0   3  Lil Wayne
 264   2   3  Lewis Black
 577   4   3  Kravitz, Lenny
 558   0   3  Killswitch Engage
 550   0   3  Kelly, R
 535   0   3  Jones, Quincy
 518   5   3  Jethro Tull
 443   0   3  Gyptian
 421   3   3  Goo goo dolls
 337   4   3  Enigma
 335   2   3  Eminem
 277  23   3  Dave Matthews Band
 131   0   3  Body + Soul
 129   0   3  Bobby V
  82   1   3  Barenaked Ladies
1107   1   2  Yanni
1095   1   2  Winston, George
1022   1   2  Train
1016   0   2  Toots and the Maytals
1003   0   2  Thomas, Carl
1002   2   2  Third eye blind
1001   1   2  Thin Lizzy
 998   5   2  Tesla
 973   2   2  Sugar Ray
 968   0   2  Strokes, the
 917   1   2  Sister Sledge
 910   9   2  Simon, Paul
 856   3   2  Robertson. Robbie
 853   4   2  Rihanna
 851   1   2  Richie, Lionel & The Commodores
 828   3   2  Rage Against The Machine
 818   2   2  Puddle of Mudd
 814   7   2  Prince
 805   5   2  Police
 751   4   2  Oasis
 738   7   2  Nickelback
 691   0   2  Ministry
 690   0   2  Minaj, Nicki
 674  15   2  Mellencamp, John Cougar
 653   0   2  Mathematics
 624   0   2  LSG
 614   1   2  Los Lobos
